Date,Store Number,City,Zip Code,County Number,Category,Vendor Number,Item Number,Bottle Volume (ml),State Bottle Cost,State Bottle Retail,Bottles Sold,Sale (Dollars),Volume Sold (Liters),Volume Sold (Gallons),Margin,Price per Liter
2015-12-14,2584,FORT MADISON,52627,56,1081390,421,69636,750,8.67,13.01,4,52.04,3.0,0.79,17.36,17.3466666667
2015-07-22,4588,SIOUX CITY,51103,97,1051010,115,53211,600,7.12,10.68,10,106.8,6.0,1.59,35.6,17.8
2015-11-18,2576,STORM LAKE,50588,11,1041100,65,30236,750,4.72,7.08,2,14.16,1.5,0.4,4.72,9.44
2015-10-15,4204,CLINTON,52733,23,1701100,260,1400,750,15.0,22.5,6,135.0,4.5,1.19,45.0,30.0
2015-02-17,4895,CEDAR RAPIDS,52402,57,1022100,395,87410,1750,20.25,30.38,2,60.76,3.5,0.92,20.26,17.36
2015-11-30,5057,DES MOINES,50317,77,1062310,260,43336,750,9.0,13.5,12,162.0,9.0,2.38,54.0,18.0
2015-06-02,2629,COUNCIL BLUFFS,51503,78,1081355,65,82820,750,6.3,9.45,6,56.7,4.5,1.19,18.9,12.6
2016-02-29,4475,COUNCIL BLUFFS,51501,78,1031080,300,36908,1750,7.47,11.21,12,134.52,21.0,5.55,44.88,6.40571428571
2016-01-25,4303,MEDIAPOLIS,52637,29,1081300,434,80578,1750,7.05,10.58,5,52.9,8.75,2.31,17.65,6.04571428571
2015-01-22,4265,WATERLOO,50702,7,1032080,370,34001,600,7.92,11.88,1,11.88,0.6,0.16,3.96,19.8
2015-04-13,3917,DAVENPORT,52804,82,1032080,115,34817,375,4.76,7.14,3,21.42,1.12,0.3,7.14,19.125
2015-09-02,4457,IOWA CITY,52240,52,1051010,205,52596,750,5.92,8.88,12,106.56,9.0,2.38,35.52,11.84
2015-08-17,2633,DES MOINES,50320,77,1071100,260,58821,1750,8.24,12.36,1,12.36,1.75,0.46,4.12,7.06285714286
2015-04-06,2601,FAIRFIELD,52556,51,1062300,65,44499,750,6.83,10.25,12,123.0,9.0,2.38,41.04,13.6666666667
2015-05-18,2613,COUNCIL BLUFFS,51501,78,1011200,65,19475,375,8.39,12.59,2,25.18,0.75,0.2,8.4,33.5733333333
2015-06-29,3443,COUNCIL BLUFFS,51503,78,1081300,434,81208,1750,7.08,10.62,6,63.72,10.5,2.77,21.24,6.06857142857
2015-01-20,3390,MILFORD,51351,30,1031080,55,35317,1000,3.97,5.96,216,1287.36,216.0,57.06,429.84,5.96
2016-01-20,4640,DAVENPORT,52807,82,1011200,461,22156,750,13.5,20.25,12,243.0,9.0,2.38,81.0,27.0
2015-02-19,4773,WEST DES MOINES,50265,77,1012100,65,10627,1000,9.71,14.57,3,43.71,3.0,0.79,14.58,14.57
2015-08-17,2506,BURLINGTON,52601,29,1031080,300,38169,750,7.0,10.5,12,126.0,9.0,2.38,42.0,14.0
2016-01-20,2500,AMES,50010,85,1051010,259,52319,1000,7.11,10.67,2,21.34,2.0,0.53,7.12,10.67
2015-04-15,5065,SIOUX CITY,51106,97,1051010,205,52594,375,3.22,4.83,2,9.66,0.75,0.2,3.22,12.88
2016-01-04,3747,SIGOURNEY,52591,54,1081010,434,76487,1000,4.05,6.08,4,24.32,4.0,1.06,8.12,6.08
2015-12-02,4191,PELLA,50219,63,1701100,65,434,750,10.49,15.74,6,94.44,4.5,1.19,31.5,20.9866666667
2015-07-22,2844,IOWA CITY,52240,52,1011200,259,17958,1750,14.96,22.44,6,134.64,10.5,2.77,44.88,12.8228571429
2015-01-28,3819,DECORAH,52101,96,1012300,395,15776,750,13.0,19.5,1,19.5,0.75,0.2,6.5,26.0
2015-07-01,4615,MASON CITY,50401,17,1031080,434,36305,750,3.34,5.01,12,60.12,9.0,2.38,20.04,6.68
2015-01-26,4843,MUSCATINE,52761,70,1012100,260,11290,300,7.35,11.03,2,22.06,0.6,0.16,7.36,36.7666666667
2015-02-18,4907,CEDAR FALLS,50613,7,1012100,260,10807,750,15.0,22.5,3,67.5,2.25,0.59,22.5,30.0
2015-02-12,2582,MASON CITY,50401,17,1081390,421,69667,1000,11.0,16.5,12,198.0,12.0,3.17,66.0,16.5
2015-05-26,2629,COUNCIL BLUFFS,51503,78,1081390,260,69940,500,13.5,20.25,2,40.5,1.0,0.26,13.5,40.5
2015-04-29,4129,AMES,50010,85,1032080,260,34456,750,14.0,21.0,3,63.0,2.25,0.59,21.0,28.0
2015-01-26,2549,INDIANOLA,50125,91,1081315,65,82881,750,6.77,10.16,12,121.92,9.0,2.38,40.68,13.5466666667
2015-04-16,2106,CEDAR FALLS,50613,7,1041100,260,30316,750,5.0,7.5,12,90.0,9.0,2.38,30.0,10.0
2015-05-07,4829,DES MOINES,50314,77,1011300,85,86693,1000,18.38,27.57,12,330.84,12.0,3.17,110.28,27.57
2016-03-23,2513,IOWA CITY,52240,52,1041100,205,31475,750,6.9,10.35,12,124.2,9.0,2.38,41.4,13.8
2015-09-29,3477,COUNCIL BLUFFS,51501,78,1062200,434,45277,1000,4.34,6.51,24,156.24,24.0,6.34,52.08,6.51
2015-05-11,3882,DAVENPORT,52802,82,1051010,115,53214,375,3.22,4.83,12,57.96,4.5,1.19,19.32,12.88
2015-07-16,2626,DES MOINES,50311,77,1011200,259,17956,750,7.47,11.21,12,134.52,9.0,2.38,44.88,14.9466666667
2016-03-02,2500,AMES,50010,85,1041100,434,31656,750,3.4,5.1,12,61.2,9.0,2.38,20.4,6.8
2015-02-24,2445,OAKLAND,51560,78,1041100,297,29998,1750,7.33,11.0,2,22.0,3.5,0.92,7.34,6.28571428571
2015-06-11,3920,CLINTON,52732,23,1031080,55,37934,375,1.74,2.61,4,10.44,1.5,0.4,3.48,6.96
2015-12-14,3838,BETTENDORF,52722,48,1011200,421,18006,750,13.0,19.5,12,234.0,9.0,2.38,78.0,26.0
2015-10-29,2593,CARROLL,51401,14,1012100,65,10627,1000,9.71,14.57,12,174.84,12.0,3.17,58.32,14.57
2016-03-07,2601,FAIRFIELD,52556,51,1031080,434,36304,375,1.86,2.79,24,66.96,9.0,2.38,22.32,7.44
2015-08-25,5068,ARNOLDS PARK,51331,30,1062300,478,42233,750,10.0,15.0,12,180.0,9.0,2.38,60.0,20.0
2015-06-03,2637,DAVENPORT,52804,82,1031080,260,37996,750,8.25,12.38,12,148.56,9.0,2.38,49.56,16.5066666667
2016-02-23,2508,CEDAR RAPIDS,52405,57,1032080,370,34007,1000,14.99,22.49,12,269.88,12.0,3.17,90.0,22.49
2015-09-10,2248,DES MOINES,50312,77,1041100,370,32232,100,0.97,1.46,4,5.84,0.4,0.11,1.96,14.6
2015-07-29,3986,SIOUX CITY,51101,97,1012200,260,5346,750,14.25,21.38,1,21.38,0.75,0.2,7.13,28.5066666667
2016-03-09,2536,PLEASANT HILL,50317,77,1011300,85,26823,200,4.23,6.35,4,25.4,0.8,0.21,8.48,31.75
2015-04-16,2561,DES MOINES,50321,77,1011200,85,22216,750,21.02,31.53,30,945.9,22.5,5.94,315.3,42.04
2015-07-07,2651,WAVERLY,50677,9,1062300,35,43136,750,8.26,12.39,12,148.68,9.0,2.38,49.56,16.52
2015-06-25,4169,DES MOINES,50317,77,1022100,410,88296,750,27.0,40.5,3,121.5,2.25,0.59,40.5,54.0
2015-09-15,2661,SHELDON,51201,71,1012100,115,10548,1750,12.99,19.49,6,116.94,10.5,2.77,39.0,11.1371428571
2015-03-25,2572,CEDAR FALLS,50613,7,1041150,370,33256,750,6.49,9.74,2,19.48,1.5,0.4,6.5,12.9866666667
2015-01-26,4501,FAIRFIELD,52556,51,1041100,205,31475,750,6.9,10.35,12,124.2,9.0,2.38,41.4,13.8
2015-08-19,4947,CEDAR FALLS,50647,7,1071100,395,59154,1750,9.5,14.25,6,85.5,10.5,2.77,28.5,8.14285714286
2015-10-21,2603,BETTENDORF,52722,82,1012200,260,5327,1000,27.5,41.25,2,82.5,2.0,0.53,27.5,41.25
2015-12-01,2327,CORNING,50841,2,1081030,65,67556,750,6.3,9.45,2,18.9,1.5,0.4,6.3,12.6
2015-03-25,3894,CEDAR RAPIDS,52402,57,1041100,370,32232,100,0.97,1.46,15,21.9,1.5,0.4,7.35,14.6
2015-07-20,2558,MOUNT PLEASANT,52641,44,1031200,259,41299,750,4.84,7.26,6,43.56,4.5,1.19,14.52,9.68
2015-03-23,2535,WEST DES MOINES,50265,77,1062300,260,43314,750,9.0,13.5,12,162.0,9.0,2.38,54.0,18.0
2015-07-15,3857,WAUKON,52172,3,1082900,192,65258,1750,26.05,39.08,1,39.08,1.75,0.46,13.03,22.3314285714
2015-08-03,2648,WEST DES MOINES,50265,77,1032080,35,34423,375,9.0,13.5,2,27.0,0.75,0.2,9.0,36.0
2015-09-29,4626,COUNCIL BLUFFS,51501,78,1031080,300,36904,375,1.8,2.7,24,64.8,9.0,2.38,21.6,7.2
2015-07-22,4509,AMES,50010,85,1011100,35,4853,750,16.75,25.13,1,25.13,0.75,0.2,8.38,33.5066666667
2015-08-05,2840,BETTENDORF,52722,82,1012200,240,6998,1750,11.25,16.88,6,101.28,10.5,2.77,33.78,9.64571428571
2015-11-09,4619,FORT MADISON,52627,56,1011200,65,27390,500,4.7,7.05,1,7.05,0.5,0.13,2.35,14.1
2015-03-18,2576,STORM LAKE,50588,11,1012210,65,5606,750,13.01,19.52,2,39.04,1.5,0.4,13.02,26.0266666667
